vectorizer,scaler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
CountVectorizer(min_df=7),passthrough,100,3,0.05,0.8,1.0,1.5,0.5703,0.0813,118,0.7617,0.0073,0.7512,0.7628,0.7673,0.7558,0.7712,4.5284,0.1791,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,1.0,1.0,1.5,0.3803,0.0117,119,0.7614,0.007,0.7521,0.7614,0.7697,0.7553,0.7684,16.579,0.2613,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,1.0,1.0,1.5,0.4475,0.0307,120,0.7606,0.0082,0.7487,0.7581,0.769,0.7566,0.7709,4.0271,0.2674,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,0.8,0.8,1,0.3035,0.0082,121,0.7564,0.0082,0.7456,0.7558,0.7638,0.7495,0.7672,11.3371,0.0815,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,1.0,0.8,1,0.3161,0.0402,122,0.7562,0.009,0.7465,0.7528,0.767,0.748,0.7668,11.3299,0.1389,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,0.8,0.8,1,0.2888,0.0057,123,0.7558,0.0083,0.7476,0.7518,0.7678,0.7482,0.7637,2.3807,0.0143,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,1.0,0.8,1,0.2945,0.0196,124,0.7556,0.0078,0.7459,0.7531,0.7645,0.7495,0.7651,2.4769,0.0655,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,0.8,1.0,1,0.4153,0.0838,125,0.7547,0.0076,0.7456,0.752,0.7617,0.7488,0.7655,3.304,0.0567,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,0.8,1.0,1,0.455,0.1425,126,0.7535,0.0086,0.7428,0.7537,0.7591,0.7456,0.7662,16.4204,1.2338,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,1.0,1.0,1,0.5191,0.1488,127,0.7534,0.0067,0.7447,0.7523,0.7592,0.7479,0.7627,4.0618,0.1109,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,1.0,1.0,1,0.5772,0.0642,128,0.7534,0.0072,0.745,0.7537,0.7579,0.746,0.7641,23.564,0.3023,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
